,cumulative_returns,number_of_trades,mean_return,median_return,max_return,vix_triggered,inc_incremented,dec_targeted,number_of_incremented
1383,643552.05,17313,0.37,0.36,0.56,31,7,0.56,3
1384,644369.06,17331,0.37,0.36,0.56,31,7,0.56,4
1385,645231.31,17350,0.37,0.36,0.56,31,7,0.56,5
1386,646221.71,17375,0.37,0.36,0.56,31,7,0.62,3
1387,647214.29,17400,0.37,0.36,0.56,31,7,0.62,4
1388,648245.95,17426,0.37,0.38,0.56,31,7,0.62,5
1389,649206.52,17455,0.37,0.36,0.56,31,7,0.69,3
1390,650198.95,17485,0.37,0.36,0.56,31,7,0.69,4
1391,651189.72,17515,0.37,0.36,0.56,31,7,0.69,5
1392,652209.52,17553,0.37,0.36,0.56,31,7,0.75,3
1393,653286.21,17593,0.37,0.36,0.56,31,7,0.75,4
1394,654360.13,17633,0.37,0.36,0.56,31,7,0.75,5
1395,655029.27,17646,0.37,0.36,0.56,31,8,0.5,3
1396,655697.67,17659,0.37,0.36,0.56,31,8,0.5,4
1397,656368.34,17672,0.37,0.36,0.56,31,8,0.5,5
1398,657146.22,17689,0.37,0.36,0.56,31,8,0.56,3
1399,657970.5,17707,0.37,0.36,0.56,31,8,0.56,4
1400,658797.56,17725,0.37,0.36,0.56,31,8,0.56,5
1401,659748.71,17749,0.37,0.36,0.56,31,8,0.62,3
1402,660780.83,17775,0.37,0.36,0.56,31,8,0.62,4
1403,661814.6,17801,0.37,0.36,0.56,31,8,0.62,5
1404,662800.54,17831,0.37,0.36,0.56,31,8,0.69,3
1405,663788.67,17861,0.37,0.36,0.56,31,8,0.69,4
1406,664775.9,17891,0.37,0.36,0.56,31,8,0.69,5
1407,665824.69,17930,0.37,0.36,0.56,31,8,0.75,3
1408,666895.95,17970,0.37,0.36,0.56,31,8,0.75,4
1409,667968.77,18010,0.37,0.36,0.56,31,8,0.75,5
1410,668636.42,18023,0.37,0.36,0.56,31,9,0.5,3
1411,669303.34,18036,0.37,0.36,0.56,31,9,0.5,4
1412,669972.53,18049,0.37,0.36,0.56,31,9,0.5,5
1413,670748.73,18066,0.37,0.36,0.56,31,9,0.56,3
1414,671571.33,18084,0.37,0.36,0.56,31,9,0.56,4
1415,672396.71,18102,0.37,0.36,0.56,31,9,0.56,5
1416,673346.02,18126,0.37,0.36,0.56,31,9,0.62,3
1417,674376.29,18152,0.37,0.36,0.56,31,9,0.62,4
1418,675408.22,18178,0.37,0.36,0.56,31,9,0.62,5
1419,676392.9,18208,0.37,0.36,0.56,31,9,0.69,3
1420,677379.79,18238,0.37,0.36,0.56,31,9,0.69,4
1421,678365.78,18268,0.37,0.36,0.56,31,9,0.69,5
1422,679409.38,18307,0.37,0.36,0.56,31,9,0.75,3
1423,680475.46,18347,0.37,0.36,0.56,31,9,0.75,4
1424,681543.11,18387,0.37,0.36,0.56,31,9,0.75,5
1425,682265.65,18401,0.37,0.36,0.56,30,5,0.5,3
1426,682992.02,18415,0.37,0.36,0.56,30,5,0.5,4
1427,683668.7,18428,0.37,0.36,0.56,30,5,0.5,5
1428,684529.89,18447,0.37,0.36,0.56,30,5,0.56,3
1429,685433.28,18467,0.37,0.36,0.56,30,5,0.56,4
1430,686340.21,18487,0.37,0.36,0.56,30,5,0.56,5
1431,687324.99,18512,0.37,0.36,0.56,30,5,0.62,3
1432,688350.03,18538,0.37,0.36,0.56,30,5,0.62,4
1433,689416.93,18565,0.37,0.36,0.56,30,5,0.62,5
1434,690474.4,18597,0.37,0.36,0.56,30,5,0.69,3
1435,691567.45,18630,0.37,0.36,0.56,30,5,0.69,4
1436,692658.32,18663,0.37,0.36,0.56,30,5,0.69,5
1437,693732.14,18703,0.37,0.36,0.56,30,5,0.75,3
1438,694861.56,18745,0.37,0.36,0.56,30,5,0.75,4
1439,696015.41,18788,0.37,0.36,0.56,30,5,0.75,5
1440,696737.1,18802,0.37,0.36,0.56,30,6,0.5,3
1441,697459.17,18816,0.37,0.36,0.56,30,6,0.5,4
1442,698185.47,18830,0.37,0.36,0.56,30,6,0.5,5
1443,699043.84,18849,0.37,0.36,0.56,30,6,0.56,3
1444,699945.11,18869,0.37,0.36,0.56,30,6,0.56,4
1445,700849.83,18889,0.37,0.36,0.56,30,6,0.56,5
1446,701832.36,18914,0.37,0.36,0.56,30,6,0.62,3
1447,702855.86,18940,0.37,0.36,0.56,30,6,0.62,4
1448,703919.54,18967,0.37,0.36,0.56,30,6,0.62,5
1449,704974.56,18999,0.37,0.36,0.56,30,6,0.69,3
1450,706062.85,19032,0.37,0.36,0.56,30,6,0.69,4
1451,707150.09,19065,0.37,0.36,0.56,30,6,0.69,5
1452,708250.94,19106,0.37,0.36,0.56,30,6,0.75,3
1453,709408.47,19149,0.37,0.36,0.56,30,6,0.75,4
1454,710591.9,19193,0.37,0.36,0.56,30,6,0.75,5
1455,711311.54,19207,0.37,0.36,0.56,30,7,0.5,3
1456,712031.71,19221,0.37,0.36,0.56,30,7,0.5,4
1457,712755.91,19235,0.37,0.36,0.56,30,7,0.5,5
1458,713615.1,19254,0.37,0.36,0.56,30,7,0.56,3
1459,714473.96,19273,0.37,0.36,0.56,30,7,0.56,4
1460,715378.06,19293,0.37,0.36,0.56,30,7,0.56,5
1461,716361.08,19318,0.37,0.36,0.56,30,7,0.62,3
1462,717382.46,19344,0.37,0.36,0.56,30,7,0.62,4
1463,718445.3,19371,0.37,0.36,0.56,30,7,0.62,5
1464,719503.54,19403,0.37,0.36,0.56,30,7,0.69,3
1465,720589.72,19436,0.37,0.36,0.56,30,7,0.69,4
1466,721674.25,19469,0.37,0.36,0.56,30,7,0.69,5
1467,722774.89,19510,0.37,0.36,0.56,30,7,0.75,3
1468,723959.75,19554,0.37,0.36,0.56,30,7,0.75,4
1469,725141.98,19598,0.37,0.36,0.56,30,7,0.75,5
1470,725810.67,19611,0.37,0.36,0.56,30,8,0.5,3
1471,726478.68,19624,0.37,0.36,0.56,30,8,0.5,4
1472,727148.98,19637,0.37,0.36,0.56,30,8,0.5,5
1473,727966.91,19655,0.37,0.36,0.56,30,8,0.56,3
1474,728787.6,19673,0.37,0.36,0.56,30,8,0.56,4
1475,729611.06,19691,0.37,0.36,0.56,30,8,0.56,5
1476,730595.34,19716,0.37,0.36,0.56,30,8,0.62,3
1477,731657.86,19743,0.37,0.36,0.56,30,8,0.62,4
1478,732724.45,19770,0.37,0.36,0.56,30,8,0.62,5
1479,733775.12,19802,0.37,0.36,0.56,30,8,0.69,3
1480,734828.0,19834,0.37,0.36,0.56,30,8,0.69,4
1481,735879.97,19866,0.37,0.36,0.56,30,8,0.69,5
1482,737009.55,19908,0.37,0.36,0.56,30,8,0.75,3
1483,738161.6,19951,0.37,0.36,0.56,30,8,0.75,4
1484,739315.36,19994,0.37,0.36,0.56,30,8,0.75,5
1485,739982.59,20007,0.37,0.36,0.56,30,9,0.5,3
1486,740649.13,20020,0.37,0.36,0.56,30,9,0.5,4
1487,741317.97,20033,0.37,0.36,0.56,30,9,0.5,5
1488,742134.3,20051,0.37,0.36,0.56,30,9,0.56,3
1489,742953.38,20069,0.37,0.36,0.56,30,9,0.56,4
1490,743775.24,20087,0.37,0.36,0.56,30,9,0.56,5
1491,744757.76,20112,0.37,0.36,0.56,30,9,0.62,3
1492,745818.52,20139,0.37,0.36,0.56,30,9,0.62,4
1493,746883.34,20166,0.37,0.36,0.56,30,9,0.62,5
1494,747932.86,20198,0.37,0.36,0.56,30,9,0.69,3
1495,748984.58,20230,0.37,0.36,0.56,30,9,0.69,4
1496,750035.4,20262,0.37,0.36,0.56,30,9,0.69,5
1497,751159.9,20304,0.37,0.36,0.56,30,9,0.75,3
1498,752306.88,20347,0.37,0.36,0.56,30,9,0.75,4
1499,753455.56,20390,0.37,0.36,0.56,30,9,0.75,5
