,Date,Buy/BuyMore/Sell,Price,Transaction Number,Transaction Value,Number of Shares
0,['1999-10-07'],Buy,[75.109375],1,[4957.21875],[132.]
1,['1999-10-08'],Buy More,[75.78125],1,[9958.78125],[132.]
2,['2001-02-16'],Sell,[37.400002],1,[4936.800264],[132.]
3,['2001-03-01'],Buy,[42.799999],2,[4964.799884],[236.]
4,['2001-03-02'],Buy More,[40.25],2,[9799.899882],[236.]
5,['2002-08-16'],Sell,[20.719999],2,[4889.919764],[236.]
6,['2002-09-20'],Buy,[25.25],3,[4999.5],[393.]
7,['2002-09-23'],Buy More,[25.9],3,[10050.975],[393.]
